
natural spline
             x          Natural CS          N_Error(%) 
       1.010000       11.9568264270        0.0012082745
       1.020000       12.0136506462        0.0019690026
       1.030000       12.0704704501        0.0023515504
       1.040000       12.1272836309        0.0024239719
       1.050000       12.1840879809        0.0022530440
       1.060000       12.2408812925        0.0019042997
       1.070000       12.2976613579        0.0014420594
       1.080000       12.3544259694        0.0009294610
       1.090000       12.4111729193        0.0004284886
       1.100000       12.4679000000        0.0000000000
       1.110000       12.5246066114        0.0003090840
       1.120000       12.5812985844        0.0005038010
       1.130000       12.6379833573        0.0006018191
       1.140000       12.6946683688        0.0006204909
       1.150000       12.7513610572        0.0005768606
       1.160000       12.8080688610        0.0004876713
       1.170000       12.8647992187        0.0003693712
       1.180000       12.9215595688        0.0002381202
       1.190000       12.9783573497        0.0001097962
       1.200000       13.0352000000        0.0000000000
       1.210000       13.0920945273        0.0000792286
       1.220000       13.1490462162        0.0001291635
       1.230000       13.2060599205        0.0001543191
       1.240000       13.2631404940        0.0001591327
       1.250000       13.3202927904        0.0001479664
       1.260000       13.3775216636        0.0001251080
       1.270000       13.4348319674        0.0000947729
       1.280000       13.4922285555        0.0000611053
       1.290000       13.5497162818        0.0000281792
       1.300000       13.6073000000        0.0000000000
       1.310000       13.6649846794        0.0000203393
       1.320000       13.7227757508        0.0000331624
       1.330000       13.7806787607        0.0000396256
       1.340000       13.8386992553        0.0000408662
       1.350000       13.8968427812        0.0000380026
       1.360000       13.9551148845        0.0000321352
       1.370000       14.0135211117        0.0000243457
       1.380000       14.0720670091        0.0000156985
       1.390000       14.1307581231        0.0000072401
       1.400000       14.1896000000        0.0000000000
       1.410000       14.2485981553        0.0000052267
       1.420000       14.3077579806        0.0000085225
       1.430000       14.3670848368        0.0000101843
       1.440000       14.4265840847        0.0000105038
       1.450000       14.4862610849        0.0000097685
       1.460000       14.5461211984        0.0000082607
       1.470000       14.6061697858        0.0000062587
       1.480000       14.6664122081        0.0000040359
       1.490000       14.7268538259        0.0000018615
       1.500000       14.7875000000        0.0000000000
       1.510000       14.8483560995        0.0000013439
       1.520000       14.9094275267        0.0000021914
       1.530000       14.9707196921        0.0000026188
       1.540000       15.0322380060        0.0000027011
       1.550000       15.0939878792        0.0000025121
       1.560000       15.1559747220        0.0000021244
       1.570000       15.2182039449        0.0000016096
       1.580000       15.2806809586        0.0000010380
       1.590000       15.3434111735        0.0000004787
       1.600000       15.4064000000        0.0000000000
       1.610000       15.4696528465        0.0000003456
       1.620000       15.5331751125        0.0000005636
