
natural spline
             x          Natural CS          N_Error(%) 
       1.510000       14.8489318651        0.0038789824
       1.520000       14.9103914960        0.0064676930
       1.530000       14.9719066583        0.0079312044
       1.540000       15.0335051180        0.0084319979
       1.550000       15.0952146406        0.0081299960
       1.560000       15.1570629920        0.0071825930
       1.570000       15.2190779378        0.0057446848
       1.580000       15.2812872440        0.0039686973
       1.590000       15.3437186761        0.0020046136
       1.600000       15.4064000000        0.0000000000
       1.610000       15.4693552160        0.0019243096
       1.620000       15.5325932628        0.0037464151
       1.630000       15.5961193136        0.0054689227
       1.640000       15.6599385419        0.0070944039
       1.650000       15.7240561208        0.0086253966
       1.660000       15.7884772237        0.0100644057
       1.670000       15.8532070238        0.0114139031
       1.680000       15.9182506944        0.0126763288
       1.690000       15.9836134088        0.0138540911
       1.700000       16.0493003404        0.0149495669
       1.710000       16.1153166623        0.0159651028
       1.720000       16.1816675479        0.0169030148
       1.730000       16.2483581705        0.0177655891
       1.740000       16.3153937034        0.0185550826
       1.750000       16.3827793198        0.0192737230
       1.760000       16.4505201930        0.0199237092
       1.770000       16.5186214964        0.0205072121
       1.780000       16.5870884032        0.0210263744
       1.790000       16.6559260867        0.0214833110
       1.800000       16.7251397202        0.0218801098
       1.810000       16.7947344770        0.0222188314
       1.820000       16.8647155303        0.0225015097
       1.830000       16.9350880535        0.0227301524
       1.840000       17.0058572199        0.0229067406
       1.850000       17.0770282027        0.0230332298
       1.860000       17.1486061752        0.0231115496
       1.870000       17.2205963107        0.0231436045
       1.880000       17.2930037825        0.0231312733
       1.890000       17.3658337640        0.0230764103
       1.900000       17.4390914283        0.0229808447
       1.910000       17.5127819488        0.0228463813
       1.920000       17.5869104987        0.0226748005
       1.930000       17.6614822514        0.0224678585
       1.940000       17.7365023801        0.0222272877
       1.950000       17.8119760582        0.0219547964
       1.960000       17.8879084588        0.0216520696
       1.970000       17.9643047554        0.0213207684
       1.980000       18.0411701212        0.0209625311
       1.990000       18.1185097294        0.0205789725
       2.000000       18.1963287534        0.0201716846
       2.010000       18.2746323665        0.0197422364
       2.020000       18.3534257419        0.0192921743
       2.030000       18.4327140529        0.0188230222
       2.040000       18.5125024729        0.0183362814
       2.050000       18.5927961751        0.0178334310
