
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        0.0097108134        2.4071303511
       1.020000        0.0194107301        1.9790159420
       1.030000        0.0290888535        1.5898775375
       1.040000        0.0387342867        1.2402283649
       1.050000        0.0483361332        0.9305788308
       1.060000        0.0578834963        0.6614365813
       1.070000        0.0673654791        0.4333065618
       1.080000        0.0767711851        0.2466910735
       1.090000        0.0860897176        0.1020898287
       1.100000        0.0953101798        0.0000000045
       1.110000        0.1044242730        0.0615730600
       1.120000        0.1134340899        0.0930078450
       1.130000        0.1223443211        0.1036580485
       1.140000        0.1311596574        0.1002798990
       1.150000        0.1398847894        0.0878973076
       1.160000        0.1485244076        0.0703426066
       1.170000        0.1570832028        0.0506064560
       1.180000        0.1655658657        0.0310711283
       1.190000        0.1739770868        0.0136701398
       1.200000        0.1823215568        0.0000000033
       1.210000        0.1906032038        0.0090000117
       1.220000        0.1988229052        0.0140575597
       1.230000        0.2069807759        0.0161309969
       1.240000        0.2150769310        0.0160143378
       1.250000        0.2231114851        0.0143702091
       1.260000        0.2310845533        0.0117551961
       1.270000        0.2389962505        0.0086395552
       1.280000        0.2468466915        0.0054226985
       1.290000        0.2546359912        0.0024454741
       1.300000        0.2623642645        0.0000000124
       1.310000        0.2700317828        0.0017204037
       1.320000        0.2776394429        0.0027757390
       1.330000        0.2851882984        0.0032807884
       1.340000        0.2926794024        0.0033445354
       1.350000        0.3001138085        0.0030709294
       1.360000        0.3074925699        0.0025595158
       1.370000        0.3148167400        0.0019059647
       1.380000        0.3220873723        0.0012025183
       1.390000        0.3293055200        0.0005383710
       1.400000        0.3364722366        0.0000000063
       1.410000        0.3435884981        0.0003510921
       1.420000        0.3506549712        0.0005419584
       1.430000        0.3576722454        0.0006147656
       1.440000        0.3646409102        0.0006042720
       1.450000        0.3715615549        0.0005386909
       1.460000        0.3784347690        0.0004404347
       1.470000        0.3852611419        0.0003267636
       1.480000        0.3920412631        0.0002103526
       1.490000        0.3987757220        0.0000997875
       1.500000        0.4054651081        0.0000000020
       1.510000        0.4121100047        0.0000858802
       1.520000        0.4187109714        0.0001520157
       1.530000        0.4252685613        0.0001942137
       1.540000        0.4317833280        0.0002111275
       1.550000        0.4382558249        0.0002039748
       1.560000        0.4446866052        0.0001762878
       1.570000        0.4510762224        0.0001336897
       1.580000        0.4574252299        0.0000836962
       1.590000        0.4637341810        0.0000355359
       1.600000        0.4700036292        0.0000000097
       1.610000        0.4762341089        0.0000147283
       1.620000        0.4824260787        0.0000146295
       1.630000        0.4885799784        0.0000074596
       1.640000        0.4946962477        0.0000011865
       1.650000        0.5007753264        0.0000076861
       1.660000        0.5068176542        0.0000102268
       1.670000        0.5128236708        0.0000086586
       1.680000        0.5187938160        0.0000043602
       1.690000        0.5247285295        0.0000001165
       1.700000        0.5306282511        0.0000000071
       1.710000        0.5364934094        0.0000072566
       1.720000        0.5423243894        0.0000181746
       1.730000        0.5481215648        0.0000285053
       1.740000        0.5538853094        0.0000354097
       1.750000        0.5596159970        0.0000373614
       1.760000        0.5653140016        0.0000340527
       1.770000        0.5709796968        0.0000263069
       1.780000        0.5766134565        0.0000159978
       1.790000        0.5822156546        0.0000059759
       1.800000        0.5877866649        0.0000000004
       1.810000        0.5933268513        0.0000010223
       1.820000        0.5988365388        0.0000063047
       1.830000        0.6043160425        0.0000125140
       1.840000        0.6097656773        0.0000173350
       1.850000        0.6151857585        0.0000194038
       1.860000        0.6205766010        0.0000182471
       1.870000        0.6259385199        0.0000142257
       1.880000        0.6312718304        0.0000084811
       1.890000        0.6365768475        0.0000028873
       1.900000        0.6418538862        0.0000000043
       1.910000        0.6471032541        0.0000018610
       1.920000        0.6523252282        0.0000064663
       1.930000        0.6575200780        0.0000114226
       1.940000        0.6626880730        0.0000150739
       1.950000        0.6678294825        0.0000164631
       1.960000        0.6729445761        0.0000152913
       1.970000        0.6780336233        0.0000118801
       1.980000        0.6830968935        0.0000071362
       1.990000        0.6881346561        0.0000025183
       2.000000        0.6931471806        0.0000000058
       2.010000        0.6981347303        0.0000011716
       2.020000        0.7030975431        0.0000045119
       2.030000        0.7080358511        0.0000081993
       2.040000        0.7129498860        0.0000109626
       2.050000        0.7178398797        0.0000120578
       2.060000        0.7227060640        0.0000112400
       2.070000        0.7275486708        0.0000087374
       2.080000        0.7323679320        0.0000052271
       2.090000        0.7371640793        0.0000018114
       2.100000        0.7419373447        0.0000000040
       2.110000        0.7466879548        0.0000009818
       2.120000        0.7514161159        0.0000036157
       2.130000        0.7561220288        0.0000064945
       2.140000        0.7608058948        0.0000086408
       2.150000        0.7654679147        0.0000094816
       2.160000        0.7701082897        0.0000088290
       2.170000        0.7747272207        0.0000068620
       2.180000        0.7793249088        0.0000041089
       2.190000        0.7839015550        0.0000014304
       2.200000        0.7884573604        0.0000000045
       2.210000        0.7929925217        0.0000007725
       2.220000        0.7975072185        0.0000028342
       2.230000        0.8020016263        0.0000050912
       2.240000        0.8064759205        0.0000067758
       2.250000        0.8109302765        0.0000074367
       2.260000        0.8153648697        0.0000069244
       2.270000        0.8197798756        0.0000053782
       2.280000        0.8241754694        0.0000032133
       2.290000        0.8285518268        0.0000011087
       2.300000        0.8329091229        0.0000000042
       2.310000        0.8372475297        0.0000006203
       2.320000        0.8415672048        0.0000022693
       2.330000        0.8458683020        0.0000040713
       2.340000        0.8501509754        0.0000054161
       2.350000        0.8544153789        0.0000059439
       2.360000        0.8586616666        0.0000055350
       2.370000        0.8628899923        0.0000043003
       2.380000        0.8671005100        0.0000025710
       2.390000        0.8712933737        0.0000008905
       2.400000        0.8754687374        0.0000000053
       2.410000        0.8796267520        0.0000005140
       2.420000        0.8837675565        0.0000018448
       2.430000        0.8878912866        0.0000032974
       2.440000        0.8919980784        0.0000043808
       2.450000        0.8960880676        0.0000048048
       2.460000        0.9001613902        0.0000044726
       2.470000        0.9042181820        0.0000034733
       2.480000        0.9082585790        0.0000020745
       2.490000        0.9122827170        0.0000007160
       2.500000        0.9162907319        0.0000000028
       2.510000        0.9202827570        0.0000004209
       2.520000        0.9242589154        0.0000015062
       2.530000        0.9282193277        0.0000026898
       2.540000        0.9321641143        0.0000035722
       2.550000        0.9360933958        0.0000039169
       2.560000        0.9400072928        0.0000036447
       2.570000        0.9439059256        0.0000028281
       2.580000        0.9477894149        0.0000016857
       2.590000        0.9516578812        0.0000005769
       2.600000        0.9555114450        0.0000000029
       2.610000        0.9593502246        0.0000003448
       2.620000        0.9631743297        0.0000012396
       2.630000        0.9669838676        0.0000022146
       2.640000        0.9707789457        0.0000029413
       2.650000        0.9745596714        0.0000032253
       2.660000        0.9783261522        0.0000030012
       2.670000        0.9820784953        0.0000023285
       2.680000        0.9858168082        0.0000013873
       2.690000        0.9895411983        0.0000004743
       2.700000        0.9932517730        0.0000000010
       2.710000        0.9969486378        0.0000002907
       2.720000        1.0006318907        0.0000010348
       2.730000        1.0043016277        0.0000018448
       2.740000        1.0079579451        0.0000024483
       2.750000        1.0116009388        0.0000026838
       2.760000        1.0152307051        0.0000024971
       2.770000        1.0188473399        0.0000019375
       2.780000        1.0224509395        0.0000011547
       2.790000        1.0260415999        0.0000003958
       2.800000        1.0296194172        0.0000000018
       2.810000        1.0331844859        0.0000002476
       2.820000        1.0367368940        0.0000008705
       2.830000        1.0402767278        0.0000015479
       2.840000        1.0438040736        0.0000020523
       2.850000        1.0473190178        0.0000022487
       2.860000        1.0508216468        0.0000020914
       2.870000        1.0543120469        0.0000016218
       2.880000        1.0577903044        0.0000009655
       2.890000        1.0612565056        0.0000003297
       2.900000        1.0647107370        0.0000000007
       2.910000        1.0681530834        0.0000002095
       2.920000        1.0715836242        0.0000007354
       2.930000        1.0750024371        0.0000013069
       2.940000        1.0784096000        0.0000017324
       2.950000        1.0818051909        0.0000018980
       2.960000        1.0851892875        0.0000017654
       2.970000        1.0885619677        0.0000013693
       2.980000        1.0919233094        0.0000008157
