
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        0.8466290279        0.0239500542
       1.020000        0.8517758950        0.0389770983
       1.030000        0.8569004098        0.0464924588
       1.040000        0.8619913964        0.0478697659
       1.050000        0.8670376785        0.0444474004
       1.060000        0.8720280802        0.0375308181
       1.070000        0.8769514253        0.0283947609
       1.080000        0.8817965377        0.0182853626
       1.090000        0.8865522413        0.0084221571
       1.100000        0.8912073601        0.0000000043
       1.110000        0.8957529893        0.0060627150
       1.120000        0.9001893102        0.0098731224
       1.130000        0.9045187753        0.0117850999
       1.140000        0.9087438371        0.0121436205
       1.150000        0.9128669484        0.0112852951
       1.160000        0.9168905616        0.0095388871
       1.170000        0.9208171294        0.0072258041
       1.180000        0.9246491043        0.0046605689
       1.190000        0.9283889390        0.0021512717
       1.200000        0.9320390860        0.0000000035
       1.210000        0.9356014088        0.0015596932
       1.220000        0.9390754144        0.0025494526
       1.230000        0.9424600207        0.0030537463
       1.240000        0.9457541456        0.0031565232
       1.250000        0.9489567068        0.0029413041
       1.260000        0.9520666224        0.0024912735
       1.270000        0.9550828102        0.0018893709
       1.280000        0.9580041880        0.0012183792
       1.290000        0.9608296738        0.0005610125
       1.300000        0.9635581854        0.0000000018
       1.310000        0.9661888188        0.0004002504
       1.320000        0.9687213822        0.0006484935
       1.330000        0.9711558619        0.0007706351
       1.340000        0.9734922444        0.0007912486
       1.350000        0.9757305158        0.0007336113
       1.360000        0.9778706627        0.0006197404
       1.370000        0.9799126711        0.0004704269
       1.380000        0.9818565277        0.0003052674
       1.390000        0.9837022185        0.0001426938
       1.400000        0.9854497300        0.0000000012
       1.410000        0.9870990215        0.0001093601
       1.420000        0.9886499444        0.0001839282
       1.430000        0.9901023232        0.0002259528
       1.440000        0.9914559821        0.0002386475
       1.450000        0.9927107456        0.0002261876
       1.460000        0.9938664382        0.0001937089
       1.470000        0.9949228842        0.0001473084
       1.480000        0.9958799080        0.0000940453
       1.490000        0.9967373340        0.0000419444
       1.500000        0.9974949866        0.0000000004
       1.510000        0.9981527185        0.0000246473
       1.520000        0.9987104954        0.0000351881
       1.530000        0.9991683112        0.0000366241
       1.540000        0.9995261599        0.0000329427
       1.550000        0.9997840354        0.0000271224
       1.560000        0.9999419316        0.0000211371
       1.570000        0.9999998425        0.0000159592
       1.580000        0.9999577621        0.0000115613
       1.590000        0.9998156843        0.0000069162
       1.600000        0.9995736030        0.0000000042
       1.610000        0.9992315257        0.0000108761
       1.620000        0.9987895142        0.0000229573
       1.630000        0.9982476435        0.0000331464
       1.640000        0.9976059889        0.0000393359
       1.650000        0.9968646256        0.0000404120
       1.660000        0.9960236288        0.0000362566
       1.670000        0.9950830737        0.0000277499
       1.680000        0.9940430355        0.0000167743
       1.690000        0.9929035893        0.0000062207
       1.700000        0.9916648105        0.0000000048
       1.710000        0.9903267915        0.0000012746
       1.720000        0.9888896944        0.0000072365
       1.730000        0.9873536986        0.0000142895
       1.740000        0.9857189834        0.0000198248
       1.750000        0.9839857282        0.0000222190
       1.760000        0.9821541125        0.0000208395
       1.770000        0.9802243155        0.0000160504
       1.780000        0.9781965166        0.0000092209
       1.790000        0.9760708953        0.0000027339
       1.800000        0.9738476309        0.0000000022
       1.810000        0.9715269188        0.0000038103
       1.820000        0.9691090184        0.0000113976
       1.830000        0.9665942052        0.0000193102
       1.840000        0.9639827545        0.0000250683
       1.850000        0.9612749418        0.0000271704
       1.860000        0.9584710425        0.0000251014
       1.870000        0.9555713320        0.0000193441
       1.880000        0.9525760858        0.0000113907
       1.890000        0.9494855792        0.0000037572
       1.900000        0.9463000877        0.0000000013
       1.910000        0.9430199025        0.0000030480
       1.920000        0.9396453783        0.0000101499
       1.930000        0.9361768854        0.0000178290
       1.940000        0.9326147942        0.0000235664
       1.950000        0.9289594752        0.0000258118
       1.960000        0.9252112988        0.0000239966
       1.970000        0.9213706353        0.0000185488
       1.980000        0.9174378552        0.0000109096
       1.990000        0.9134133289        0.0000035524
       2.000000        0.9092974268        0.0000000028
       2.010000        0.9050905345        0.0000031887
       2.020000        0.9007930980        0.0000103832
       2.030000        0.8964055786        0.0000181309
       2.040000        0.8919284376        0.0000239192
       2.050000        0.8873621362        0.0000261945
       2.060000        0.8827071356        0.0000243796
       2.070000        0.8779638971        0.0000188933
       2.080000        0.8731328820        0.0000111722
       2.090000        0.8682145514        0.0000036944
       2.100000        0.8632093666        0.0000000057
       2.110000        0.8581178033        0.0000030708
       2.120000        0.8529403946        0.0000101920
       2.130000        0.8476776882        0.0000179231
       2.140000        0.8423302316        0.0000237453
       2.150000        0.8368985725        0.0000260879
       2.160000        0.8313832583        0.0000243504
       2.170000        0.8257848368        0.0000189271
       2.180000        0.8201038555        0.0000112349
       2.190000        0.8143408620        0.0000037424
       2.200000        0.8084964038        0.0000000024
       2.210000        0.8025710421        0.0000030090
       2.220000        0.7965653918        0.0000100975
       2.230000        0.7904800814        0.0000178362
       2.240000        0.7843157392        0.0000237036
       2.250000        0.7780729937        0.0000261135
       2.260000        0.7717524734        0.0000244428
       2.270000        0.7653548066        0.0000190622
       2.280000        0.7588806219        0.0000113694
       2.290000        0.7523305476        0.0000038259
       2.300000        0.7457052122        0.0000000031
       2.310000        0.7390052565        0.0000029132
       2.320000        0.7322313712        0.0000099490
       2.330000        0.7253842592        0.0000176887
       2.340000        0.7184646235        0.0000236068
       2.350000        0.7114731671        0.0000260986
       2.360000        0.7044105931        0.0000245136
       2.370000        0.6972776044        0.0000191931
       2.380000        0.6900749041        0.0000115109
       2.390000        0.6828031952        0.0000039181
       2.400000        0.6754631806        0.0000000072
       2.410000        0.6680555747        0.0000028085
       2.420000        0.6605811366        0.0000097861
       2.430000        0.6530406371        0.0000175302
       2.440000        0.6454348466        0.0000235116
       2.450000        0.6377645357        0.0000261035
       2.460000        0.6300304749        0.0000246229
       2.470000        0.6222334348        0.0000193752
       2.480000        0.6143741859        0.0000117044
       2.490000        0.6064534988        0.0000040485
       2.500000        0.5984721441        0.0000000007
       2.510000        0.5904309022        0.0000026876
       2.520000        0.5823305937        0.0000095884
       2.530000        0.5741720488        0.0000173344
       2.540000        0.5659560981        0.0000233924
       2.550000        0.5576835718        0.0000261093
       2.560000        0.5493553004        0.0000247605
       2.570000        0.5409721143        0.0000196056
       2.580000        0.5325348439        0.0000119495
       2.590000        0.5240443196        0.0000042119
       2.600000        0.5155013718        0.0000000042
       2.610000        0.5069068395        0.0000025216
       2.620000        0.4982615960        0.0000093205
       2.630000        0.4895665233        0.0000170684
       2.640000        0.4808225033        0.0000232291
       2.650000        0.4720304180        0.0000261149
       2.660000        0.4631911494        0.0000249467
       2.670000        0.4543055793        0.0000199211
       2.680000        0.4453745898        0.0000122881
       2.690000        0.4363990628        0.0000044391
       2.700000        0.4273798802        0.0000000079
       2.710000        0.4183179311        0.0000022838
       2.720000        0.4092141331        0.0000089325
       2.730000        0.4000694109        0.0000166760
       2.740000        0.3908846891        0.0000229774
       2.750000        0.3816608924        0.0000261037
       2.760000        0.3723989456        0.0000251979
       2.770000        0.3630997733        0.0000203646
       2.780000        0.3537643001        0.0000127691
       2.790000        0.3443934509        0.0000047559
       2.800000        0.3349881502        0.0000000132
       2.810000        0.3255493284        0.0000018913
       2.820000        0.3160779380        0.0000083058
       2.830000        0.3065749372        0.0000160434
       2.840000        0.2970412843        0.0000225748
       2.850000        0.2874779373        0.0000261015
       2.860000        0.2778858546        0.0000256444
       2.870000        0.2682659942        0.0000211540
       2.880000        0.2586193144        0.0000136451
       2.890000        0.2489467733        0.0000053653
       2.900000        0.2392493292        0.0000000058
       2.910000        0.2295279442        0.0000012303
       2.920000        0.2197835964        0.0000071859
       2.930000        0.2100172680        0.0000148737
       2.940000        0.2002299411        0.0000218092
       2.950000        0.1904225977        0.0000260995
       2.960000        0.1805962199        0.0000265482
       2.970000        0.1707517900        0.0000227962
       2.980000        0.1608902900        0.0000155163
       2.990000        0.1510127020        0.0000066850
       3.000000        0.1411200081        0.0000000284
       3.010000        0.1312131928        0.0000004898
       3.020000        0.1212932499        0.0000041959
       3.030000        0.1113611758        0.0000115996
       3.040000        0.1014179665        0.0000195390
       3.050000        0.0914646184        0.0000261010
       3.060000        0.0815021276        0.0000296815
       3.070000        0.0715314904        0.0000290592
       3.080000        0.0615537029        0.0000235425
       3.090000        0.0515697615        0.0000132882
       3.100000        0.0415806624        0.0000000801
       3.110000        0.0315874024        0.0000126043
       3.120000        0.0215909813        0.0000257570
       3.130000        0.0115923994        0.0000470399
       3.140000        0.0015926571        0.0002629530
       3.150000       -0.0084072452        0.0000259403
       3.160000       -0.0184063071        0.0000009183
       3.170000       -0.0284035283        0.0000083742
       3.180000       -0.0383979083        0.0000098456
       3.190000       -0.0483884468        0.0000070751
       3.200000       -0.0583741434        0.0000000472
       3.210000       -0.0683539987        0.0000108540
       3.220000       -0.0783270172        0.0000207975
       3.230000       -0.0882922043        0.0000270578
       3.240000       -0.0982485655        0.0000287553
       3.250000       -0.1081951062        0.0000261481
       3.260000       -0.1181308320        0.0000202370
       3.270000       -0.1280547482        0.0000125550
       3.280000       -0.1379658603        0.0000050490
       3.290000       -0.1478631738        0.0000000095
       3.300000       -0.1577456941        0.0000000274
       3.310000       -0.1676124293        0.0000063985
       3.320000       -0.1774623981        0.0000150963
       3.330000       -0.1872946215        0.0000224348
       3.340000       -0.1971081210        0.0000263636
       3.350000       -0.2069019176        0.0000261253
       3.360000       -0.2166750327        0.0000220069
       3.370000       -0.2264264875        0.0000151575
       3.380000       -0.2361553031        0.0000074520
       3.390000       -0.2458605009        0.0000013886
       3.400000       -0.2555411020        0.0000000105
       3.410000       -0.2651961320        0.0000052396
       3.420000       -0.2748246333        0.0000134621
       3.430000       -0.2844256528        0.0000209910
       3.440000       -0.2939982373        0.0000255560
       3.450000       -0.3035414335        0.0000261089
       3.460000       -0.3130542881        0.0000226666
       3.470000       -0.3225358481        0.0000161827
