
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        0.8429307174        0.4606731803
       1.020000        0.8443896288        0.9057998507
       1.030000        0.8458468975        1.3358340364
       1.040000        0.8473017023        1.7512118354
       1.050000        0.8487532220        2.1523522813
       1.060000        0.8502006352        2.5396581558
       1.070000        0.8516431206        2.9135167568
       1.080000        0.8530798569        3.2743006231
       1.090000        0.8545100229        3.6223682197
       1.100000        0.8559327972        3.9580645855
       1.110000        0.8573473585        4.2817219464
       1.120000        0.8587528855        4.5936602958
       1.130000        0.8601485570        4.8941879437
       1.140000        0.8615335517        5.1836020380
       1.150000        0.8629070482        5.4621890579
       1.160000        0.8642682252        5.7302252825
       1.170000        0.8656162615        5.9879772354
       1.180000        0.8669503358        6.2357021064
       1.190000        0.8682696267        6.4736481531
       1.200000        0.8695733130        6.7020550815
       1.210000        0.8708605734        6.9211544088
       1.220000        0.8721305866        7.1311698080
       1.230000        0.8733825312        7.3323174361
       1.240000        0.8746155860        7.5248062471
       1.250000        0.8758289297        7.7088382892
       1.260000        0.8770217409        7.8846089891
       1.270000        0.8781931985        8.0523074225
       1.280000        0.8793424811        8.2121165726
       1.290000        0.8804687673        8.3642135766
       1.300000        0.8815712360        8.5087699611
       1.310000        0.8826490657        8.6459518675
       1.320000        0.8837014353        8.7759202666
       1.330000        0.8847275234        8.8988311648
       1.340000        0.8857265087        9.0148358008
       1.350000        0.8866975699        9.1240808342
       1.360000        0.8876398858        9.2267085260
       1.370000        0.8885526350        9.3228569121
       1.380000        0.8894349962        9.4126599684
       1.390000        0.8902861481        9.4962477711
       1.400000        0.8911052695        9.5737466489
       1.410000        0.8918915390        9.6452793299
       1.420000        0.8926441354        9.7109650831
       1.430000        0.8933622373        9.7709198537
       1.440000        0.8940450234        9.8252563941
       1.450000        0.8946916726        9.8740843893
       1.460000        0.8953013633        9.9175105784
       1.470000        0.8958732745        9.9556388711
       1.480000        0.8964065847        9.9885704607
       1.490000        0.8969004726       10.0164039326
       1.500000        0.8973541171       10.0392353700
       1.510000        0.8977666967       10.0571584549
       1.520000        0.8981373902       10.0702645671
       1.530000        0.8984653763       10.0786428792
       1.540000        0.8987498337       10.0823804492
       1.550000        0.8989899410       10.0815623099
       1.560000        0.8991848771       10.0762715564
       1.570000        0.8993338205       10.0665894302
       1.580000        0.8994359501       10.0525954023
       1.590000        0.8994904445       10.0343672528
       1.600000        0.8994964823       10.0119811497
       1.610000        0.8994532424        9.9855117251
       1.620000        0.8993599034        9.9550321498
       1.630000        0.8992156440        9.9206142070
       1.640000        0.8990196429        9.8823283632
       1.650000        0.8987710789        9.8402438394
       1.660000        0.8984691306        9.7944286796
       1.670000        0.8981129767        9.7449498190
       1.680000        0.8977017960        9.6918731514
       1.690000        0.8972347671        9.6352635949
       1.700000        0.8967110687        9.5751851576
       1.710000        0.8961298796        9.5117010027
       1.720000        0.8954903784        9.4448735120
       1.730000        0.8947917439        9.3747643504
       1.740000        0.8940331548        9.3014345294
       1.750000        0.8932137897        9.2249444701
       1.760000        0.8923328274        9.1453540666
       1.770000        0.8913894465        9.0627227495
       1.780000        0.8903828258        8.9771095491
       1.790000        0.8893121440        8.8885731591
       1.800000        0.8881765798        8.7971720009
       1.810000        0.8869753118        8.7029642877
       1.820000        0.8857075188        8.6060080903
       1.830000        0.8843723796        8.5063614024
       1.840000        0.8829690727        8.4040822081
       1.850000        0.8814967769        8.2992285490
       1.860000        0.8799546709        8.1918585939
       1.870000        0.8783419334        8.0820307084
       1.880000        0.8766577431        7.9698035272
       1.890000        0.8749012788        7.8552360272
       1.900000        0.8730717190        7.7383876027
       1.910000        0.8711682426        7.6193181424
       1.920000        0.8691900282        7.4980881084
       1.930000        0.8671362545        7.3747586182
       1.940000        0.8650061002        7.2493915283
       1.950000        0.8627987441        7.1220495211
       1.960000        0.8605133648        6.9927961946
       1.970000        0.8581491410        6.8616961549
       1.980000        0.8557052515        6.7288151133
       1.990000        0.8531808749        6.5942199854
       2.000000        0.8505751900        6.4579789956
       2.010000        0.8478873754        6.3201617850
       2.020000        0.8451166099        6.1808395246
       2.030000        0.8422620722        6.0400850325
       2.040000        0.8393229409        5.8979728973
       2.050000        0.8362983947        5.7545796067
       2.060000        0.8331876125        5.6099836822
       2.070000        0.8299897728        5.4642658202
       2.080000        0.8267040544        5.3175090407
       2.090000        0.8233296360        5.1697988425
       2.100000        0.8198656962        5.0212233676
       2.110000        0.8163114139        4.8718735732
       2.120000        0.8126659676        4.7218434134
       2.130000        0.8089285361        4.5712300312
       2.140000        0.8050982982        4.4201339605
       2.150000        0.8011744324        4.2686593397
       2.160000        0.7971561175        4.1169141381
       2.170000        0.7930425323        3.9650103952
       2.180000        0.7888328553        3.8130644737
       2.190000        0.7845262654        3.6611973291
       2.200000        0.7801219412        3.5095347942
       2.210000        0.7756190614        3.3582078827
       2.220000        0.7710168048        3.2073531111
       2.230000        0.7663143500        3.0571128415
       2.240000        0.7615108757        2.9076356468
       2.250000        0.7566055606        2.7590766994
       2.260000        0.7515975835        2.6115981865
       2.270000        0.7464861230        2.4653697533
       2.280000        0.7412703579        2.3205689760
       2.290000        0.7359494668        2.1773818688
       2.300000        0.7305226285        2.0360034253
       2.310000        0.7249890217        1.8966382000
       2.320000        0.7193478250        1.7595009305
       2.330000        0.7135982171        1.6248172062
       2.340000        0.7077393769        1.4928241866
       2.350000        0.7017704829        1.3637713735
       2.360000        0.6956907139        1.2379214420
       2.370000        0.6894992485        1.1155511365
       2.380000        0.6831952656        0.9969522366
       2.390000        0.6767779437        0.8824325996
       2.400000        0.6702464616        0.7723172881
       2.410000        0.6635999981        0.6669497882
       2.420000        0.6568377317        0.5666933310
       2.430000        0.6499588412        0.4719323233
       2.440000        0.6429625053        0.3830739021
       2.450000        0.6358479027        0.3005496228
       2.460000        0.6286142122        0.2248172966
       2.470000        0.6212606123        0.1563629914
