             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01      11.956790       0.001513      11.956817       0.001290      11.956971       0.000002
           1.02      12.013580       0.002554      12.013628       0.002157      12.013887       0.000002
           1.03      12.070370       0.003186      12.070433       0.002665      12.070754       0.000002
           1.04      12.127159       0.003451      12.127232       0.002853      12.127578       0.000002
           1.05      12.183949       0.003390      12.184025       0.002771      12.184362       0.000001
           1.06      12.240740       0.003060      12.240812       0.002468      12.241115       0.000002
           1.07      12.297530       0.002509      12.297593       0.001997      12.297839       0.000004
           1.08      12.354320       0.001791      12.354368       0.001397      12.354542       0.000008
           1.09      12.411110       0.000936      12.411137       0.000721      12.411226       0.000001
           1.10      12.467900       0.000002      12.467900       0.000002      12.467900       0.000002
           1.11      12.524630       0.000493      12.524657       0.000714      12.524568       0.000002
           1.12      12.581360       0.000991      12.581408       0.001370      12.581235       0.000002
           1.13      12.638090       0.001447      12.638153       0.001945      12.637907       0.000002
           1.14      12.694820       0.001818      12.694892       0.002382      12.694590       0.000000
           1.15      12.751551       0.002064      12.751625       0.002647      12.751287       0.000000
           1.16      12.808280       0.002136      12.807704       0.002361      12.808006       0.000001
           1.17      12.865010       0.002010      12.864506       0.001912      12.864752       0.000001
           1.18      12.921740       0.001631      12.921355       0.001343      12.921529       0.000000
           1.19      12.978470       0.000977      12.978254       0.000684      12.978343       0.000001
           1.20      13.035199       0.000006      13.035200       0.000001      13.035200       0.000001
           1.21      13.092410       0.002331      13.092194       0.000678      13.092105       0.000000
           1.22      13.149619       0.004228      13.149236       0.001312      13.149063       0.000000
           1.23      13.206829       0.005670      13.206326       0.001864      13.206080       0.000001
           1.24      13.264040       0.006623      13.263464       0.002280      13.263162       0.000001
           1.25      13.321250       0.007038      13.319975       0.002534      13.320312       0.000000
           1.26      13.378460       0.006889      13.377235       0.002265      13.377539       0.000002
           1.27      13.435670       0.006142      13.434599       0.001829      13.434844       0.000005
           1.28      13.492881       0.004774      13.492064       0.001277      13.492237       0.000002
           1.29      13.550090       0.002729      13.549631       0.000656      13.549720       0.000002
           1.30      13.607300       0.000001      13.607300       0.000001      13.607301       0.000006
           1.31      13.665530       0.004013      13.665071       0.000649      13.664982       0.000000
           1.32      13.723761       0.007210      13.722944       0.001261      13.722771       0.000003
           1.33      13.781990       0.009555      13.780919       0.001784      13.780674       0.000005
           1.34      13.840219       0.011027      13.838996       0.002185      13.838695       0.000007
           1.35      13.898451       0.011610      13.896501       0.002424      13.896837       0.000002
           1.36      13.956680       0.011250      13.954808       0.002165      13.955111       0.000001
           1.37      14.014910       0.009934      14.013272       0.001751      14.013518       0.000005
           1.38      14.073140       0.007642      14.071893       0.001222      14.072064       0.000002
           1.39      14.131370       0.004335      14.130668       0.000632      14.130757       0.000002
           1.40      14.189601       0.000007      14.189600       0.000000      14.189600       0.000000
           1.41      14.249390       0.005550      14.248688       0.000624      14.248599       0.000001
           1.42      14.309180       0.009932      14.307932       0.001207      14.307759       0.000001
           1.43      14.368970       0.013111      14.367332       0.001714      14.367086       0.000001
           1.44      14.428761       0.015076      14.426888       0.002100      14.426585       0.000002
           1.45      14.488550       0.015793      14.485925       0.002331      14.486262       0.000001
           1.46      14.548340       0.015245      14.545820       0.002077      14.546123       0.000001
           1.47      14.608130       0.013418      14.605926       0.001678      14.606172       0.000007
           1.48      14.667920       0.010278      14.666241       0.001173      14.666413       0.000004
           1.49      14.727711       0.005817      14.726766       0.000600      14.726854       0.000002
           1.50      14.787500       0.000003      14.787500       0.000003      14.787500       0.000003
           1.51      14.849390       0.006965      14.848445       0.000600      14.848356       0.000003
           1.52      14.911281       0.012432      14.909600       0.001161      14.909428       0.000003
           1.53      14.973169       0.016366      14.970964       0.001638      14.970719       0.000001
           1.54      15.035060       0.018776      15.032539       0.002008      15.032237       0.000003
           1.55      15.096950       0.019625      15.093650       0.002236      15.093987       0.000000
           1.56      15.158840       0.018909      15.155672       0.001994      15.155973       0.000006
           1.57      15.220729       0.016594      15.217957       0.001617      15.218204       0.000000
           1.58      15.282619       0.012688      15.280507       0.001136      15.280681       0.000000
           1.59      15.344510       0.007163      15.343322       0.000581      15.343410       0.000003
           1.60      15.406400       0.000001      15.406400       0.000001      15.406400       0.000001
           1.61      15.470929       0.008251      15.469741       0.000569      15.469652       0.000004
           1.62      15.535460       0.014707      15.533347       0.001107      15.533175       0.000002
           1.63      15.599990       0.019348      15.597218       0.001573      15.596972       0.000002
           1.64      15.664520       0.022162      15.661352       0.001932      15.661050       0.000002
           1.65      15.729050       0.023130      15.725749       0.002141      15.725412       0.000000
           1.66      15.793580       0.022253      15.789764       0.001912      15.790067       0.000003
           1.67      15.858110       0.019513      15.854771       0.001551      15.855017       0.000001
           1.68      15.922640       0.014894      15.920096       0.001082      15.920268       0.000004
           1.69      15.987170       0.008396      15.985740       0.000552      15.985827       0.000003
           1.70      16.051701       0.000004      16.051701       0.000004      16.051701       0.000004
           1.71      16.119410       0.009429      16.117979       0.000554      16.117891       0.000009
           1.72      16.187120       0.016790      16.184576       0.001069      16.184404       0.000008
           1.73      16.254829       0.022055      16.251492       0.001516      16.251245       0.000002
           1.74      16.322540       0.025240      16.318724       0.001852      16.318422       0.000005
           1.75      16.390249       0.026314      16.385599       0.002064      16.385937       0.000004
           1.76      16.457960       0.025294      16.453497       0.001832      16.453798       0.000000
           1.77      16.525671       0.022161      16.521765       0.001482      16.522011       0.000007
           1.78      16.593380       0.016897      16.590405       0.001038      16.590576       0.000003
           1.79      16.661091       0.009519      16.659416       0.000533      16.659506       0.000005
           1.80      16.728800       0.000000      16.728800       0.000000      16.728800       0.000000
           1.81      16.800230       0.010497      16.798557       0.000539      16.798466       0.000006
           1.82      16.871660       0.018669      16.868685       0.001030      16.868511       0.000001
           1.83      16.943090       0.024513      16.939184       0.001452      16.938938       0.000000
           1.84      17.014519       0.028015      17.010056       0.001776      17.009754       0.000004
           1.85      17.085951       0.029205      17.081299       0.001970      17.080963       0.000005
           1.86      17.157379       0.028036      17.152267       0.001765      17.152571       0.000003
           1.87      17.228809       0.024539      17.224337       0.001428      17.224583       0.000001
           1.88      17.300240       0.018702      17.296831       0.001003      17.297005       0.000000
           1.89      17.371670       0.010523      17.369753       0.000513      17.369843       0.000003
           1.90      17.443100       0.000001      17.443100       0.000001      17.443100       0.000001
           1.91      17.518789       0.011449      17.516872       0.000506      17.516785       0.000005
           1.92      17.594481       0.020360      17.591072       0.000984      17.590899       0.000003
           1.93      17.670170       0.026711      17.665697       0.001392      17.665451       0.000001
           1.94      17.745861       0.030527      17.740747       0.001702      17.740446       0.000004
           1.95      17.821550       0.031786      17.815550       0.001894      17.815887       0.000001
           1.96      17.897242       0.030513      17.891481       0.001681      17.891783       0.000003
           1.97      17.972931       0.026688      17.967890       0.001368      17.968136       0.000002
           1.98      18.048620       0.020325      18.044781       0.000953      18.044952       0.000001
           1.99      18.124310       0.011426      18.122150       0.000488      18.122240       0.000006
           2.00      18.200001       0.000005      18.200001       0.000005      18.200001       0.000005
           2.01      18.280491       0.012311      18.278330       0.000488      18.278240       0.000003
           2.02      18.360979       0.021856      18.357140       0.000940      18.356968       0.000005
           2.03      18.441469       0.028667      18.436430       0.001334      18.436186       0.000009
           2.04      18.521961       0.032749      18.516201       0.001640      18.515898       0.000002
           2.05      18.602451       0.034088      18.595776       0.001811      18.596113       0.000005
           2.06      18.682941       0.032699      18.676533       0.001614      18.676834       0.000001
           2.07      18.763430       0.028580      18.757824       0.001304      18.758070       0.000008
           2.08      18.843922       0.021768      18.839647       0.000920      18.839821       0.000001
           2.09      18.924412       0.012239      18.922007       0.000472      18.922096       0.000002
           2.10      19.004900       0.000001      19.004900       0.000001      19.004900       0.000001
