             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       0.009531       4.214082       0.009904       0.460986       0.009942       0.079971
           1.02       0.019062       3.739887       0.019726       0.387279       0.019790       0.064830
           1.03       0.028593       3.267233       0.029464       0.319301       0.029544       0.051526
           1.04       0.038124       2.796100       0.039120       0.256993       0.039205       0.039938
           1.05       0.047655       2.326460       0.048692       0.200318       0.048776       0.029913
           1.06       0.057186       1.858304       0.058182       0.149236       0.058256       0.021389
           1.07       0.066717       1.391598       0.067588       0.103699       0.067649       0.014237
           1.08       0.076248       0.926333       0.076912       0.063680       0.076955       0.008363
           1.09       0.085779       0.462482       0.086153       0.029130       0.086175       0.003660
           1.10       0.095310       0.000020       0.095310       0.000020       0.095310       0.000020
           1.11       0.104011       0.334154       0.104385       0.023696       0.104363       0.002657
           1.12       0.112712       0.543777       0.113376       0.042047       0.113334       0.004488
           1.13       0.121414       0.657895       0.122285       0.055075       0.122224       0.005550
           1.14       0.130115       0.697220       0.130951       0.059019       0.131036       0.005963
           1.15       0.138816       0.676940       0.139687       0.053682       0.139770       0.005800
           1.16       0.147517       0.608423       0.148353       0.045006       0.148428       0.005183
           1.17       0.156218       0.500392       0.156950       0.034357       0.157010       0.004195
           1.18       0.164919       0.359602       0.165477       0.022784       0.165519       0.002938
           1.19       0.173620       0.191382       0.173934       0.011115       0.173956       0.001503
           1.20       0.182322       0.000019       0.182322       0.000019       0.182322       0.000019
           1.21       0.190326       0.154527       0.190639       0.009978       0.190622       0.001036
           1.22       0.198330       0.261895       0.198888       0.018457       0.198854       0.001821
           1.23       0.206334       0.328389       0.207066       0.025068       0.207019       0.002343
           1.24       0.214339       0.359230       0.215051       0.028159       0.215117       0.002604
           1.25       0.222343       0.358800       0.223085       0.026344       0.223149       0.002611
           1.26       0.230347       0.330805       0.231059       0.022655       0.231117       0.002400
           1.27       0.238351       0.278404       0.238975       0.017683       0.239022       0.001987
           1.28       0.246356       0.204292       0.246831       0.011964       0.246864       0.001436
           1.29       0.254360       0.110819       0.254627       0.005943       0.254644       0.000763
           1.30       0.262364       0.000015       0.262364       0.000015       0.262364       0.000015
           1.31       0.269775       0.093339       0.270042       0.005562       0.270029       0.000562
           1.32       0.277186       0.160588       0.277661       0.010423       0.277634       0.000976
           1.33       0.284597       0.204172       0.285220       0.014346       0.285183       0.001272
           1.34       0.292007       0.226239       0.292621       0.016511       0.292674       0.001421
           1.35       0.299418       0.228682       0.300058       0.015630       0.300109       0.001431
           1.36       0.306829       0.213223       0.307443       0.013601       0.307489       0.001335
           1.37       0.314240       0.181339       0.314777       0.010729       0.314814       0.001123
           1.38       0.321651       0.134387       0.322060       0.007335       0.322086       0.000808
           1.39       0.329061       0.073577       0.329292       0.003674       0.329305       0.000435
           1.40       0.336472       0.000013       0.336472       0.000004       0.336472       0.000013
           1.41       0.343372       0.063494       0.343602       0.003494       0.343591       0.000320
           1.42       0.350271       0.110095       0.350680       0.006604       0.350659       0.000579
           1.43       0.357170       0.141003       0.357707       0.009161       0.357677       0.000745
           1.44       0.364069       0.157341       0.364604       0.010750       0.364646       0.000847
           1.45       0.370969       0.160102       0.371525       0.010257       0.371567       0.000867
           1.46       0.377868       0.150221       0.378402       0.008973       0.378439       0.000808
           1.47       0.384767       0.128517       0.385235       0.007131       0.385265       0.000682
           1.48       0.391667       0.095793       0.392023       0.004898       0.392044       0.000492
           1.49       0.398566       0.052740       0.398766       0.002473       0.398777       0.000262
           1.50       0.405465       0.000001       0.405465       0.000001       0.405465       0.000001
           1.51       0.411919       0.046275       0.412119       0.002365       0.412110       0.000202
           1.52       0.418373       0.080609       0.418729       0.004490       0.418712       0.000362
           1.53       0.424827       0.103724       0.425294       0.006258       0.425270       0.000483
           1.54       0.431280       0.116243       0.431750       0.007464       0.431785       0.000542
           1.55       0.437734       0.118786       0.438224       0.007147       0.438257       0.000558
           1.56       0.444188       0.111901       0.444658       0.006286       0.444688       0.000517
           1.57       0.450642       0.096117       0.451053       0.005008       0.451078       0.000443
           1.58       0.457096       0.071913       0.457409       0.003457       0.457426       0.000322
           1.59       0.463550       0.039731       0.463726       0.001750       0.463735       0.000172
           1.60       0.470004       0.000003       0.470004       0.000003       0.470004       0.000003
           1.61       0.476066       0.035295       0.476242       0.001683       0.476235       0.000137
           1.62       0.482129       0.061690       0.482442       0.003212       0.482427       0.000246
           1.63       0.488191       0.079618       0.488602       0.004492       0.488582       0.000326
           1.64       0.494253       0.089499       0.494669       0.005429       0.494698       0.000367
           1.65       0.500316       0.091733       0.500749       0.005214       0.500777       0.000381
