             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       0.007132      28.326893       0.008744      12.121431       0.009128       8.263338
           1.02       0.014263      27.972070       0.017452      11.869348       0.018205       8.065457
           1.03       0.021395      27.618399       0.026124      11.620496       0.027232       7.870913
           1.04       0.028527      27.265868       0.034759      11.374826       0.036209       7.679589
           1.05       0.035659      26.914454       0.043359      11.132310       0.045135       7.491517
           1.06       0.042790      26.564149       0.051922      10.892913       0.054011       7.306677
           1.07       0.049922      26.214933       0.060449      10.656629       0.062838       7.124927
           1.08       0.057054      25.866790       0.068939      10.423400       0.071615       6.946274
           1.09       0.064185      25.519702       0.077393      10.193237       0.080343       6.770711
           1.10       0.071317      25.173664       0.085811       9.966081       0.089021       6.598184
           1.11       0.078449      24.828656       0.094193       9.741917       0.097651       6.428644
           1.12       0.085581      24.484664       0.102539       9.520743       0.106232       6.262047
           1.13       0.092712      24.141676       0.110848       9.302504       0.114764       6.098345
           1.14       0.099844      23.799677       0.119121       9.087198       0.123248       5.937528
           1.15       0.106976      23.458656       0.127358       8.874768       0.131684       5.779568
           1.16       0.114107      23.118598       0.135559       8.665250       0.140072       5.624418
           1.17       0.121239      22.779493       0.143723       8.458561       0.148412       5.472013
           1.18       0.128371      22.441323       0.151852       8.254728       0.156705       5.322381
           1.19       0.135503      22.104085       0.159944       8.053675       0.164950       5.175428
           1.20       0.142634      21.767764       0.167999       7.855460       0.173149       5.031161
           1.21       0.149766      21.432348       0.176019       7.659993       0.181300       4.889518
           1.22       0.156898      21.097825       0.184002       7.467259       0.189404       4.750493
           1.23       0.164029      20.764186       0.191949       7.277276       0.197462       4.614030
           1.24       0.171161      20.431418       0.199860       7.090022       0.205474       4.480115
           1.25       0.178293      20.099513       0.207734       6.905450       0.213440       4.348720
           1.26       0.185424      19.768459       0.215573       6.723557       0.221359       4.219805
           1.27       0.192556      19.438246       0.223375       6.544310       0.229233       4.093342
           1.28       0.199688      19.108866       0.231141       6.367731       0.237061       3.969300
           1.29       0.206820      18.780307       0.238870       6.193746       0.244844       3.847641
           1.30       0.213951      18.452561       0.246564       6.022380       0.252582       3.728384
           1.31       0.221083      18.125618       0.254221       5.853604       0.260275       3.611447
           1.32       0.228215      17.799470       0.261842       5.687396       0.267924       3.496800
           1.33       0.235346      17.474106       0.269426       5.523746       0.275527       3.384457
           1.34       0.242478      17.149519       0.276975       5.362638       0.283087       3.274354
           1.35       0.249610      16.825701       0.284487       5.204065       0.290602       3.166505
           1.36       0.256742      16.502636       0.291963       5.047982       0.298073       3.060829
           1.37       0.263873      16.180333       0.299403       4.894395       0.305501       2.957357
           1.38       0.271005      15.858763       0.306806       4.743297       0.312885       2.856022
           1.39       0.278137      15.537938       0.314173       4.594655       0.320225       2.756833
           1.40       0.285268      15.217831       0.321504       4.448464       0.327523       2.659708
           1.41       0.292400      14.898452       0.328799       4.304719       0.334778       2.564691
           1.42       0.299532      14.579777       0.336058       4.163387       0.341990       2.471695
           1.43       0.306664      14.261814       0.343280       4.024456       0.349159       2.380753
           1.44       0.313795      13.944541       0.350466       3.887929       0.356286       2.291805
           1.45       0.320927      13.627966       0.357616       3.753783       0.363371       2.204833
           1.46       0.328059      13.312066       0.364729       3.621991       0.370414       2.119797
           1.47       0.335190      12.996851       0.371807       3.492571       0.377416       2.036725
           1.48       0.342322      12.682297       0.378848       3.365487       0.384375       1.955562
           1.49       0.349454      12.368413       0.385853       3.240740       0.391294       1.876261
           1.50       0.356586      12.055178       0.392822       3.118291       0.398171       1.798849
           1.51       0.363717      11.742600       0.399754       2.998162       0.405008       1.723266
           1.52       0.370849      11.430658       0.406650       2.880335       0.411804       1.649509
           1.53       0.377981      11.119360       0.413510       2.764784       0.418559       1.577562
           1.54       0.385112      10.808686       0.420334       2.651496       0.425274       1.507373
           1.55       0.392244      10.498644       0.427121       2.540462       0.431949       1.438955
           1.56       0.399376      10.189214       0.433872       2.431690       0.438584       1.372257
           1.57       0.406508       9.880403       0.440587       2.325149       0.445179       1.307283
           1.58       0.413639       9.572194       0.447266       2.220847       0.451734       1.244004
           1.59       0.420771       9.264592       0.453909       2.118729       0.458251       1.182406
           1.60       0.427903       8.957580       0.460515       2.018848       0.464728       1.122439
           1.61       0.435034       8.651165       0.467085       1.921136       0.471166       1.064127
           1.62       0.442166       8.345329       0.473619       1.825622       0.477566       1.007430
           1.63       0.449298       8.040079       0.480116       1.732275       0.483927       0.952320
           1.64       0.456430       7.735398       0.486578       1.641087       0.490250       0.898788
