             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01      17.204000       0.313117      17.150301       0.000006      17.150303       0.000017
           1.02      17.407999       0.617293      17.301201       0.000005      17.301205       0.000027
           1.03      17.612000       0.912750      17.452702       0.000009      17.452709       0.000053
           1.04      17.816000       1.199673      17.604801       0.000007      17.604811       0.000061
           1.05      18.020000       1.478251      17.757502       0.000009      17.757507       0.000041
           1.06      18.223999       1.748660      17.910801       0.000005      17.910818       0.000101
           1.07      18.427999       2.011102      18.064703       0.000017      18.064714       0.000080
           1.08      18.632000       2.265742      18.219202       0.000011      18.219210       0.000053
           1.09      18.836000       2.512751      18.374306       0.000031      18.374317       0.000094
           1.10      19.039999       2.752288      18.530005       0.000024      18.530031       0.000169
           1.11      19.243999       2.984537      18.686300       0.000002      18.686312       0.000063
           1.12      19.448000       3.209646      18.843204       0.000024      18.843199       0.000006
           1.13      19.652000       3.427771      19.000704       0.000020      19.000721       0.000111
           1.14      19.855999       3.639054      19.158810       0.000051      19.158833       0.000170
           1.15      20.060001       3.843672      19.317505       0.000026      19.317497       0.000014
           1.16      20.264000       4.041732      19.476810       0.000054      19.476799       0.000005
           1.17      20.468000       4.233402      19.636705       0.000028      19.636709       0.000047
           1.18      20.671999       4.418802      19.797205       0.000025      19.797260       0.000305
           1.19      20.876001       4.598094      19.958309       0.000046      19.958305       0.000027
           1.20      21.080000       4.771372      20.120008       0.000042      20.120010       0.000052
           1.21      21.284000       4.938791      20.282307       0.000033      20.282286       0.000070
           1.22      21.487999       5.100459      20.445200       0.000000      20.445272       0.000355
           1.23      21.692001       5.256525      20.608700       0.000001      20.608704       0.000018
           1.24      21.896000       5.407071      20.772800       0.000003      20.772785       0.000071
           1.25      22.100000       5.552241      20.937506       0.000028      20.937540       0.000192
           1.26      22.304001       5.692140      21.102816       0.000075      21.102791       0.000043
           1.27      22.508001       5.826879      21.268703       0.000017      21.268759       0.000277
           1.28      22.712000       5.956557      21.435207       0.000035      21.435230       0.000142
           1.29      22.916000       6.081299      21.602314       0.000065      21.602352       0.000242
           1.30      23.120001       6.201199      21.769999       0.000006      21.770035       0.000160
           1.31      23.324001       6.316357      21.938313       0.000058      21.938324       0.000110
           1.32      23.528000       6.426865      22.107204       0.000021      22.107264       0.000288
           1.33      23.732000       6.532837      22.276714       0.000065      22.276711       0.000048
           1.34      23.936001       6.634358      22.446814       0.000061      22.446854       0.000240
           1.35      24.140001       6.731520      22.617502       0.000010      22.617521       0.000095
