             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       0.846445       0.045728       0.846845       0.001585       0.846834       0.000220
           1.02       0.851418       0.080948       0.852131       0.002656       0.852111       0.000354
           1.03       0.856392       0.105807       0.857327       0.003245       0.857303       0.000422
           1.04       0.861365       0.120446       0.862434       0.003456       0.862408       0.000429
           1.05       0.866339       0.124977       0.867452       0.003341       0.867427       0.000400
           1.06       0.871313       0.119525       0.872381       0.002963       0.872359       0.000346
           1.07       0.876286       0.104208       0.877221       0.002383       0.877203       0.000270
           1.08       0.881260       0.079116       0.881972       0.001658       0.881959       0.000185
           1.09       0.886234       0.044351       0.886634       0.000845       0.886628       0.000086
           1.10       0.891207       0.000002       0.891207       0.000002       0.891207       0.000002
           1.11       0.895290       0.045572       0.895691       0.000834       0.895698       0.000089
           1.12       0.899374       0.080745       0.900086       0.001599       0.900099       0.000149
           1.13       0.903457       0.105629       0.904392       0.002252       0.904410       0.000195
           1.14       0.907540       0.120342       0.908658       0.002647       0.908631       0.000226
           1.15       0.911623       0.124972       0.912787       0.002555       0.912762       0.000240
           1.16       0.915706       0.119623       0.916824       0.002264       0.916801       0.000226
           1.17       0.919790       0.104376       0.920767       0.001821       0.920749       0.000192
           1.18       0.923873       0.079310       0.924618       0.001265       0.924605       0.000147
           1.19       0.927956       0.044497       0.928375       0.000644       0.928368       0.000075
           1.20       0.932039       0.000007       0.932039       0.000000       0.932039       0.000000
           1.21       0.935191       0.045427       0.935610       0.000642       0.935615       0.000081
           1.22       0.938343       0.080554       0.939088       0.001223       0.939098       0.000151
           1.23       0.941495       0.105469       0.942473       0.001715       0.942487       0.000197
           1.24       0.944647       0.120247       0.945802       0.001901       0.945782       0.000223
           1.25       0.947799       0.124977       0.949002       0.001841       0.948982       0.000238
           1.26       0.950951       0.119713       0.952106       0.001632       0.952088       0.000221
           1.27       0.954102       0.104533       0.955113       0.001315       0.955099       0.000195
           1.28       0.957254       0.079482       0.958025       0.000915       0.958015       0.000137
           1.29       0.960406       0.044624       0.960840       0.000463       0.960834       0.000077
           1.30       0.963558       0.000001       0.963558       0.000001       0.963558       0.000008
           1.31       0.965747       0.045291       0.966181       0.000454       0.966184       0.000078
           1.32       0.967937       0.080373       0.968707       0.000864       0.968714       0.000144
           1.33       0.970126       0.105308       0.971160       0.001147       0.971147       0.000191
           1.34       0.972315       0.120163       0.973496       0.001216       0.973482       0.000217
